haveWatched,titleID
1,8337
1,809
1,627
1,1586
1,429200
1,4960
1,638
1,11943
1,103
1,7294
1,64690
1,242582
1,483
1,13310
1,9426
1,9398
1,406
1,34803
1,9323
1,499932
0,234
0,2667
0,764
0,548
0,52936
0,9833
0,18311
0,75233
0,490
0,13964
0,14696
0,124905
0,9886
0,1946
0,2028
0,500664
0,10775
0,1359
0,5548
0,476
0,11104
0,153
0,245891
0,419430
0,2668
0,629
0,372058
0,97370
0,643047
0,350
0,641
0,592
0,11606
0,77
0,170
0,11507
0,492
0,81529
0,8327
0,13550
0,290
0,274
0,73
0,254320
0,315011
0,14
0,6977
0,149
0,522
0,807
0,426
0,829
0,487558
0,142
0,185
0,550
0,15318
0,281
0,16664
0,655
0,62
0,680
0,401218
0,85350
0,25538
0,28
0,334
0,28422
0,128
1,19947
0,27245
0,31417
1,1093
1,25050
0,599
0,38368
0,11850
0,11299
0,149871
0,346
1,9346
1,496
1,504949
1,4977
0,8072
0,3597
0,9495
0,9607
1,138
0,653
1,13885
0,1151272
0,593
0,505192

